,times__trf
36218,410.3497266769409
36219,410.36152505874634
36220,410.37287282943726
36221,410.38325810432434
36222,410.3939211368561
36223,410.40546321868896
36224,410.4161570072174
36225,410.42738008499146
36226,410.437872171402
36227,410.44905138015747
36228,410.4607992172241
36229,410.47105717658997
36230,410.48177218437195
36231,410.49252581596375
36232,410.50291204452515
36233,410.51343965530396
36234,410.5238926410675
36235,410.53427290916443
36236,410.5447669029236
36237,410.5561788082123
36238,410.56774282455444
36239,410.57898020744324
36240,410.58993697166443
36241,410.60147881507874
36242,410.6124505996704
36243,410.6234338283539
36244,410.634512424469
36245,410.6458349227905
36246,410.6571846008301
36247,410.66838026046753
36248,410.6800928115845
36249,410.6912579536438
36250,410.70135283470154
36251,410.7117621898651
36252,410.7233655452728
36253,410.73495864868164
36254,410.746621131897
36255,410.7576849460602
36256,410.7690796852112
36257,410.78062534332275
36258,410.7914226055145
36259,410.80283093452454
36260,410.8147497177124
36261,410.8261477947235
36262,410.8370430469513
36263,410.84737849235535
36264,410.85804176330566
36265,410.8689830303192
36266,410.8793716430664
36267,410.88968443870544
36268,410.9006655216217
36269,410.9123339653015
36270,410.923059463501
36271,410.93493461608887
36272,410.94609093666077
36273,410.95868706703186
36274,410.9696276187897
36275,410.9801721572876
36276,410.99044394493103
36277,411.0020411014557
36278,411.0136227607727
36279,411.02506160736084
36280,411.03650641441345
36281,411.0495264530182
36282,411.061158657074
36283,411.0720362663269
36284,411.08246994018555
36285,411.0944621562958
36286,411.1059947013855
36287,411.11746549606323
36288,411.12834215164185
36289,411.13916015625
36290,411.15144395828247
36291,411.1624035835266
36292,411.17265820503235
36293,411.1847381591797
36294,411.1956355571747
36295,411.2066271305084
36296,411.21745228767395
36297,411.22806096076965
36298,411.2402346134186
36299,411.2515935897827
36300,411.26255798339844
36301,411.27373576164246
36302,411.2841827869415
36303,411.29470038414
36304,411.3071255683899
36305,411.31944251060486
36306,411.3302729129791
36307,411.34168124198914
36308,411.353315114975
36309,411.3642044067383
36310,411.3754348754883
36311,411.38685607910156
36312,411.39721751213074
36313,411.4082589149475
36314,411.4186055660248
36315,411.4287281036377
36316,411.4397118091583
36317,411.4501521587372
36318,411.4613411426544
36319,411.47306060791016
36320,411.4843304157257
36321,411.4951756000519
36322,411.50594115257263
36323,411.5182683467865
36324,411.5286605358124
36325,411.53995013237
36326,411.55098581314087
36327,411.5623905658722
36328,411.5735034942627
36329,411.58629512786865
36330,411.59718585014343
36331,411.60795307159424
36332,411.61824083328247
36333,411.62971019744873
36334,411.640750169754
36335,411.65169763565063
36336,411.6623935699463
36337,411.67346024513245
36338,411.68464756011963
36339,411.6959216594696
36340,411.7067267894745
36341,411.71818804740906
36342,411.72877860069275
36343,411.73965096473694
36344,411.7504906654358
36345,411.76188111305237
36346,411.77255749702454
36347,411.78360056877136
36348,411.7943296432495
36349,411.80511689186096
36350,411.81596517562866
36351,411.8274767398834
36352,411.8383569717407
36353,411.8488345146179
36354,411.8600175380707
36355,411.87136816978455
36356,411.8823616504669
36357,411.89426374435425
36358,411.9046947956085
36359,411.9169626235962
36360,411.9277923107147
36361,411.9385108947754
36362,411.94993472099304
36363,411.96062684059143
36364,411.97134613990784
36365,411.9816927909851
36366,411.9933907985687
36367,412.00474858283997
36368,412.01643085479736
36369,412.0278437137604
36370,412.038955450058
36371,412.0499532222748
36372,412.06081104278564
36373,412.0712413787842
36374,412.0815906524658
36375,412.0929934978485
36376,412.1040828227997
36377,412.11505913734436
