,times__sm
23559,128.96481227874756
23560,128.97007727622986
23561,128.97587203979492
23562,128.9796004295349
23563,128.98539996147156
23564,128.99123311042786
23565,128.99604845046997
23566,129.00255370140076
23567,129.00670289993286
23568,129.0156331062317
23569,129.02160501480103
23570,129.026700258255
23571,129.0323452949524
23572,129.035737991333
23573,129.0411925315857
23574,129.04674291610718
23575,129.0513572692871
23576,129.05826497077942
23577,129.0627465248108
23578,129.069030046463
23579,129.07491755485535
23580,129.0805380344391
23581,129.0871081352234
23582,129.09383630752563
23583,129.09951829910278
23584,129.10749697685242
23585,129.11207056045532
23586,129.11677956581116
23587,129.12353038787842
23588,129.1287236213684
23589,129.13510394096375
23590,129.1409854888916
23591,129.14872646331787
23592,129.15337538719177
23593,129.15752267837524
23594,129.16364526748657
23595,129.1685082912445
23596,129.17396593093872
23597,129.17942190170288
23598,129.18381309509277
23599,129.1899435520172
23600,129.19415497779846
23601,129.20156931877136
23602,129.20790576934814
23603,129.21214175224304
23604,129.21675753593445
23605,129.22370386123657
23606,129.228009223938
23607,129.2321708202362
23608,129.23865723609924
23609,129.24339079856873
23610,129.24927830696106
23611,129.2537341117859
23612,129.25932121276855
23613,129.26629638671875
23614,129.2706069946289
23615,129.2761688232422
23616,129.2802619934082
23617,129.2856273651123
23618,129.29096269607544
23619,129.2965850830078
23620,129.30035185813904
23621,129.3051836490631
23622,129.30881261825562
23623,129.31524872779846
23624,129.3227219581604
23625,129.327543258667
23626,129.333482503891
23627,129.33949494361877
23628,129.34368705749512
23629,129.3493664264679
23630,129.3535077571869
23631,129.35936331748962
23632,129.36567783355713
23633,129.36937928199768
23634,129.37443900108337
23635,129.37884879112244
23636,129.38409209251404
23637,129.38917875289917
23638,129.39379596710205
23639,129.398512840271
23640,129.4030213356018
23641,129.4079613685608
23642,129.41449451446533
23643,129.41856622695923
23644,129.42323875427246
23645,129.42841958999634
23646,129.4328169822693
23647,129.43724083900452
23648,129.441992521286
23649,129.44724035263062
23650,129.45128512382507
23651,129.45596408843994
23652,129.45950603485107
23653,129.46371579170227
23654,129.4675374031067
23655,129.47341227531433
23656,129.47987985610962
23657,129.48459196090698
23658,129.49043202400208
23659,129.49581456184387
23660,129.5015938282013
23661,129.5074872970581
23662,129.51105642318726
23663,129.5166506767273
23664,129.5206377506256
23665,129.52366948127747
23666,129.5282735824585
23667,129.53518104553223
23668,129.54179286956787
23669,129.54723739624023
23670,129.5508749485016
23671,129.55454421043396
23672,129.56578660011292
23673,129.5703628063202
23674,129.57439661026
23675,129.57860040664673
23676,129.5821144580841
23677,129.58538842201233
23678,129.59341049194336
23679,129.59752011299133
23680,129.60290336608887
23681,129.60745453834534
23682,129.61148023605347
23683,129.61565685272217
23684,129.62033677101135
23685,129.62421679496765
23686,129.62780833244324
23687,129.6324052810669
23688,129.63714981079102
23689,129.64179134368896
23690,129.6464822292328
23691,129.6503462791443
23692,129.65858912467957
23693,129.6654088497162
23694,129.6707057952881
23695,129.67706656455994
23696,129.68178415298462
23697,129.68772530555725
23698,129.69680333137512
23699,129.70158171653748
23700,129.7054533958435
23701,129.71126461029053
23702,129.7174379825592
23703,129.7238266468048
23704,129.72885465621948
23705,129.7420678138733
23706,129.74823713302612
23707,129.7521688938141
23708,129.7559630870819
23709,129.76081728935242
23710,129.77326726913452
23711,129.7805676460266
23712,129.7864625453949
23713,129.79240465164185
23714,129.7960500717163
23715,129.80048298835754
23716,129.8050661087036
23717,129.81106638908386
23718,129.8177728652954
23719,129.82246899604797
23720,129.82851028442383
23721,129.83540844917297
23722,129.8427336215973
23723,129.84857201576233
23724,129.85470962524414
23725,129.86123967170715
23726,129.86597299575806
23727,129.8729212284088
23728,129.87897634506226
23729,129.88273334503174
23730,129.88624548912048
23731,129.89006114006042
23732,129.89676904678345
23733,129.9009244441986
23734,129.90802216529846
23735,129.91283655166626
23736,129.91643810272217
23737,129.92007565498352
23738,129.9265308380127
23739,129.9329206943512
23740,129.9372398853302
23741,129.94254660606384
23742,129.94682383537292
23743,129.95140600204468
23744,129.95529556274414
23745,129.96079277992249
23746,129.96522998809814
23747,129.9716558456421
23748,129.97649931907654
23749,129.9804720878601
23750,129.9862608909607
23751,129.99216151237488
23752,129.9968183040619
23753,130.0021071434021
23754,130.00816750526428
23755,130.01316142082214
23756,130.0186288356781
23757,130.02293848991394
23758,130.02653527259827
23759,130.0334131717682
23760,130.03702545166016
23761,130.0417823791504
23762,130.04690217971802
23763,130.0514223575592
23764,130.05486488342285
23765,130.05938124656677
23766,130.06422972679138
23767,130.0681667327881
23768,130.0741629600525
23769,130.0784673690796
23770,130.08373260498047
23771,130.08872199058533
23772,130.09386229515076
23773,130.10018920898438
23774,130.1058738231659
23775,130.11018753051758
23776,130.11417889595032
23777,130.121732711792
23778,130.12749195098877
23779,130.13380408287048
23780,130.13893342018127
23781,130.14411425590515
23782,130.1508867740631
23783,130.15682220458984
23784,130.16267681121826
23785,130.1676561832428
23786,130.1729393005371
23787,130.17659044265747
23788,130.18639731407166
23789,130.19147777557373
23790,130.19703006744385
23791,130.20123672485352
23792,130.20731329917908
23793,130.21227836608887
23794,130.21699476242065
23795,130.22613501548767
23796,130.23110580444336
23797,130.23445224761963
23798,130.24110865592957
23799,130.24506902694702
23800,130.25010538101196
23801,130.25467705726624
23802,130.26097106933594
23803,130.26754522323608
23804,130.2722566127777
23805,130.27588176727295
23806,130.28532147407532
23807,130.2902762889862
23808,130.29666948318481
23809,130.30279517173767
23810,130.30654954910278
23811,130.31070709228516
23812,130.31533455848694
23813,130.31972670555115
23814,130.32623314857483
23815,130.3317904472351
23816,130.3368604183197
23817,130.34277296066284
23818,130.34701871871948
23819,130.35107827186584
23820,130.35751008987427
23821,130.36511754989624
23822,130.3696689605713
23823,130.3734006881714
23824,130.37945103645325
23825,130.38513016700745
23826,130.39193868637085
23827,130.39671683311462
23828,130.40088391304016
23829,130.4062535762787
23830,130.41239953041077
23831,130.41834998130798
23832,130.42226600646973
